"","X","GENDER","AGE","ORGANICS","BILL"
"1",1,"F",43,0,3000
"2",3,"M",40,0,6000
"3",4,"F",44,0,35
"4",5,"M",58,0,600
"5",6,"F",37,0,500
"6",8,"M",44,0,6000
"7",9,"M",68,0,1000
"8",10,"F",48,0,0.02
"10",12,"F",62,0,1000
"13",16,"F",72,0,12000
"15",18,"F",48,0,600
"16",19,"F",63,0,2500
"17",20,"F",55,0,5044.45
"18",21,"F",53,0,20326.51
"19",22,"F",33,1,0.01
"21",24,"F",41,0,5000
"22",25,"F",59,0,3000
"23",26,"F",41,1,0.01
"24",27,"F",36,1,0.01
"25",28,"F",67,0,4000
"26",29,"F",53,0,2000
"27",31,"F",36,1,0.01
"28",32,"M",47,0,1000
"29",33,"M",47,0,0.01
"30",34,"F",37,0,0.01
"32",36,"F",58,0,2100
"34",38,"F",39,1,2240
"35",39,"F",67,0,3000
"36",40,"F",68,1,4000
"37",41,"F",54,0,50
"38",42,"M",47,0,0.01
"39",43,"F",40,0,6000
"40",44,"F",52,1,6200
"41",45,"F",59,1,6000
"42",46,"M",66,0,12000
"44",48,"F",65,0,12000
"45",49,"M",40,0,4000
"49",53,"F",47,1,0.01
"50",54,"F",54,0,3000
"52",56,"F",36,1,0.01
"53",57,"F",67,1,600
"54",58,"F",39,1,0.01
"55",59,"F",56,1,80088.7
"57",61,"F",59,0,5000
"59",63,"F",29,1,100
"60",64,"F",56,0,480
"63",67,"F",63,0,12053.35
"65",69,"F",38,0,4500
"66",70,"M",57,0,0.01
"67",71,"M",63,0,20781.19
"69",73,"F",45,0,0.01
"70",74,"F",50,1,9053.34
"71",75,"F",49,0,0.01
"72",76,"F",44,1,0.01
"74",78,"F",32,0,1680
"75",79,"F",62,0,1000
"76",80,"F",60,0,3050
"78",82,"F",73,1,22000
"81",86,"F",76,1,1000
"82",87,"M",77,0,17963.35
"83",88,"F",46,1,9100
"84",89,"F",61,0,9600
"85",90,"F",39,1,0.01
"86",91,"F",41,1,12000
"87",92,"F",63,0,0.01
"88",93,"F",40,1,0.01
"89",94,"F",65,0,0.01
"90",95,"F",68,0,19000
"91",96,"M",60,1,5000
"92",97,"M",46,0,0.01
"94",99,"F",78,0,6000
"95",100,"M",31,1,2648.25
